H1:2
H2:2
H3:2
J1:2
LED1:2
LED10:2
LED2:2
LED3:2
LED4:2
LED5:2
LED6:2
LED7:2
LED8:2
LED9:2
PSW1:2
REF**:28
RSW1:2
SW1:2
SW10:2
SW2:2
SW3:2
SW4:2
SW5:2
SW6:2
SW7:2
SW8:2
SW9:2
U1:2
